,Alive,Currently Infected,Dead,Time Step,Total Infected So Far
0,1984.0,45.0,16.0,0.0,95.0
1,1956.0,37.0,44.0,1.0,132.0
2,1937.0,28.0,63.0,2.0,160.0
3,1925.0,17.0,75.0,3.0,177.0
4,1914.0,12.0,86.0,4.0,189.0
5,1909.0,11.0,91.0,5.0,200.0
6,1903.0,8.0,97.0,6.0,208.0
7,1899.0,7.0,101.0,7.0,215.0
8,1894.0,6.0,106.0,8.0,221.0
9,1890.0,5.0,110.0,9.0,226.0
10,1888.0,2.0,112.0,10.0,228.0
11,1888.0,2.0,112.0,11.0,230.0
12,1887.0,2.0,113.0,12.0,232.0
13,1886.0,0.0,114.0,13.0,232.0
14,1886.0,0.0,114.0,14.0,232.0
15,1886.0,0.0,114.0,15.0,232.0
16,1886.0,0.0,114.0,16.0,232.0
17,1886.0,0.0,114.0,17.0,232.0
18,1886.0,0.0,114.0,18.0,232.0
19,1886.0,0.0,114.0,19.0,232.0
20,1886.0,0.0,114.0,20.0,232.0
